"","Club","Turnover...m..2011.12.","Turnover...m..2010.11.","Gate.and.Matchday.income...m","TV.and.Broadcasting...m","Merchandising..Retail...m","Sponsorship.and.advertising","Corporate.Hospitality...m","Commercial...m","Europa.League...m","Football.activities...m","Player.Trading...m","Hotel...m","Property.Development...m","Other.income...m","Compensation...m","Wage.Bill...m..2011.12.","Wages.as.Proportion.of.Turnover......2011.12.","Wage.Bill...m..2010.11.","Loss.before.Tax...m..2011.12.","Loss.before.Tax...m..2010.11.","Profit.before.Tax...m..2011.12.","Profit.before.Tax...m..2010.11.","Net.Debt...m","Interest.payable...m","Highest.paid.director...m","Chief.Executive","Notes"
"1","Arsenal",245,258,95,85,18,NA,NA,34,NA,NA,3,NA,8,NA,NA,143,58,124,NA,NA,37,NA,"98",15,"2.05 - Ivan Gazidis","","Accounts for the year to May 31 2012"
"2","Aston Villa",80,92,20,47,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,70,87.5,83,18,54,NA,NA,"122",7,"0.256 - unnamed","Paul Faulkner","Accounts for the year to May 31 2012"
"3","Blackburn Rovers",54,58,6,42,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,50,93,NA,NA,19,4,NA,"25",0.2,"0.135 - unnamed","","Accounts for the year to June 30 2012"
"4","Bolton Wanderers",65,68,8,43,2,4,2,NA,NA,NA,NA,6,NA,NA,NA,55,85,56,22,26,NA,NA,"137",6,"0.858 - presumed to be Allan Duckworth, includes £397,000 pay-off","","Accounts for the year to June 30 2012"
"5","Chelsea",261,229,78,113,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,173,66,190,4,78,NA,NA,"878",0,"0.911 - unnamed","Ron Gourlay","Accounts (of the holding company, Fordstam) for the year to June 30 2012"
"6","Everton",81,82,17,53,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,63,78,58,9,5,NA,NA,"46",4,"No directors were paid; chief executive Robert Elstone is not a director","","Accounts for the year to May 31 2012"
"7","Fulham",79,76,11,51,NA,12,NA,NA,3,NA,NA,NA,NA,NA,1,62,78,58,18,NA,NA,5,"193",0.3,"0.704 - unnamed","Alastair Mackintosh","Accounts for the year to June 30 2012. £12m figure is sponsorship and commercial"
"8","Liverpool",169,184,42,63,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,119,70,NA,41,49,NA,NA,"87",4,"0.657 - unnamed","Ian Ayre","Accounts for the ten months to July 31 2012"
"9","Manchester City",231,153,22,88,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,202,87,174,99,197,NA,NA,"58",3,"1.1 - unnamed","John MacBeath was acting chief executive","Accounts for the year to May 31 2012"
"10","Manchester United",320,331,99,104,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,162,51,153,5,NA,NA,12,"366",50,"2.593 - unnamed","David Gill","Accounts for Red Football Shareholder Ltd, the largest parent company in the Glazers' structure for owning United, for the year to June 30 2011. £50m figure is for interest and other finance costs"
"11","Newcastle United",93,89,24,56,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,64,69,54,NA,NA,1,33,"129",0.07,"0.266 - unnamed","Derek Llambias is managing director","Accounts for the year to June 30 2012"
"12","Norwich City",75,23,11,50,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,37,49,18,NA,7,16,NA,"0 (£1m net cash in the bank)",2,"1.533 - unnamed","David McNally","Accounts for the year to May 31 2012"
"13","Queens Park Rangers",64,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,91,30,23,25,NA,NA,"89",0.038,"Directors of the holding company were not paid","","Accounts for the year to May 31 2012. QPR's turnover is not broken down into TV and other activities"
"14","Stoke City",71,68,8,46,3,6,3,NA,5,NA,NA,NA,NA,0.6,NA,53,75,47,10,6,NA,NA,"14",0,"0.517 - unnamed","","Accounts for the year to May 31 2012"
"15","Sunderland",78,79,14,47,NA,9,NA,8,NA,NA,NA,NA,NA,NA,NA,64,82,61,32,8,NA,NA,"84",2,"2.432702 - Niall Quinn","","Accounts for the year to July 31 2012. £9m figure is for sponsorship and royalties"
"16","Swansea City",65,12,NA,NA,NA,NA,NA,4,NA,61,NA,NA,NA,NA,NA,35,54,17,NA,11,17,NA,"0 (£5m cash in the bank)",0.3,"0.2 - Huw Jenkins","","Accounts for the year to May 31 2012. Swansea City list all football income as £61m"
"17","Tottenham Hotspur",144,163,21,59,9,NA,35,9,11,NA,NA,NA,NA,NA,NA,90,63,91,7,NA,NA,0.4,"70",6,"2.2 - Daniel Levy","","Accounts for the year to June 30 2012"
"18","West Bromwich Albion",67,59,8,50,3,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,50,75,39,NA,NA,1,9,"0.5",0,"1.133 - unnamed","Jeremy Peace is executive chairman","Accounts for the year to June 30 2012"
"19","Wigan Athletic",53,51,4,46,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,38,72,40,NA,7,4,NA,"12",0.5,"Not disclosed","","Accounts for the year to May 31 2012"
"20","Wolverhampton Wanderers",60,64,8,42,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,38,63,38,NA,NA,2,NA,"0 (Wolves had £13m cash in the bank)",0,"1.2 - unnamed director","","Accounts for the year to May 31 2012"
"21","Total",2355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",""
