"","Club","Income"
"1","Arsenal",245
"2","Aston Villa",80
"3","Blackburn Rovers",54
"4","Bolton Wanderers",65
"5","Chelsea",261
"6","Everton",81
"7","Fulham",79
"8","Liverpool",169
"9","Manchester City",231
"10","Manchester United",320
"11","Newcastle United",93
"12","Norwich City",75
"13","Queens Park Rangers",64
"14","Stoke City",71
"15","Sunderland",78
"16","Swansea City",65
"17","Tottenham Hotspur",144
"18","West Bromwich Albion",67
"19","Wigan Athletic",53
"20","Wolverhampton Wanderers",60
