"","Club","Total.Seasons","Never.Relgated","Founding.Club"
"1","Arsenal",22,TRUE,TRUE
"2","Aston Villa",22,TRUE,TRUE
"3","Chelsea",22,TRUE,TRUE
"4","Everton",22,TRUE,TRUE
"5","Liverpool",22,TRUE,TRUE
"6","Manchester United",22,TRUE,TRUE
"7","Tottenham Hotspur",22,TRUE,TRUE
"8","Newcastle United",20,FALSE,FALSE
"9","Blackburn Rovers",18,FALSE,TRUE
"10","Manchester City",17,FALSE,FALSE
"11","Bolton Wanderers",13,FALSE,FALSE
"12","Fulham",13,TRUE,FALSE
"13","Sunderland",13,FALSE,FALSE
"14","West Bromwich Albion",8,FALSE,FALSE
"15","Wigan Athletic",8,FALSE,FALSE
"16","Norwich City",7,FALSE,TRUE
"17","Queens Park Rangers",6,FALSE,TRUE
"18","Stoke City",6,TRUE,FALSE
"19","Wolverhampton Wanderers",4,FALSE,FALSE
"20","Swansea City",3,TRUE,FALSE
